no.,Name,Formula,CAS-number,molecular-weight,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
,-,-,-,MW,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,kJ/mol,kJ/mol,J/mol.K,kJ/mol
264,Octanal,C8H16O,124-13-0,128.212,-290.2,-83.77,500.63,-47.4
265,Octane,C8H18,111-65-9,114.229,-208.75,16,467.23,-50.7415
266,Octanoic acid,C8H16O2,124-07-2,144.211,-556,-325,520,-44.48
267,1-Octanol,C8H18O,111-87-5,130.228,-357.3,-117,518.7,-48.95
268,2-Octanol,C8H18O,123-96-6,130.228,-376.2,-134.3,513.2,-48.94
269,2-Octanone,C8H16O,111-13-7,128.212,-321.6,-113.8,496.2,-46.984
270,3-Octanone,C8H16O,106-68-3,128.212,-339,-128.1,487.9,-47.11
271,1-Octene,C8H16,111-66-0,112.213,-81.94,105.7,463.7,-49.61
272,Octyl mercaptan,C8H18S,111-88-6,146.294,-170.1,44.57,533.1,-53.962
273,1-Octyne,C8H14,629-05-0,110.197,82.3,235,447.8,-48.8145
274,Oxalic acid,C2H2O4,144-62-7,90.035,-723.7,-661.4,343.3,-1.989
275,Oxygen,O2,7782-44-7,31.999,0,0,205.043,0
276,Ozone,O3,10028-15-6,47.998,142.671,163.164,238.823,-1.42671
277,Pentadecane,C15H32,629-62-9,212.415,-353.11,74.26,741.81,-93.4237
278,Pentanal,C5H10O,110-62-3,86.132,-227.8,-107.1,382.89,-29.1
279,Pentane,C5H12,109-66-0,72.149,-146.76,-8.813,349.45,-32.4494
280,Pentanoic acid,C5H10O2,109-52-4,102.132,-491.3,-347,402,-26.17
281,1-Pentanol,C5H12O,71-41-0,88.148,-295.7,-142.3,401,-30.64
282,2-Pentanol,C5H12O,6032-29-7,88.148,-313.7,-158.8,395.8,-30.58
283,2-Pentanone,C5H10O,107-87-9,86.132,-259.2,-138.3,378.6,-28.7956
284,3-Pentanone,C5H10O,96-22-0,86.132,-257.9,-134.4,370,-28.804
285,1-Pentene,C5H10,109-67-1,70.133,-21.62,78.37,346.2,-31.3037
286,2-Pentyl mercaptan,C5H12S,2084-19-7,104.214,-113,18.14,405,-35.64
287,Pentyl mercaptan,C5H12S,110-66-7,104.214,-108.4,19.4408,415.4,-35.641
288,1-Pentyne,C5H8,627-19-0,68.117,144.4,210.3,329.8,-30.51
289,2-Pentyne,C5H8,627-21-4,68.117,128.9,194.5,330.84,-30.291
290,Phenanthrene,C14H10,1985-01-08,178.229,201.2,302.19,394.5,-68.282
291,Phenol,C6H6O,108-95-2,94.111,-96.399,-32.637,314.81,-29.21
292,Phenyl isocyanate,C7H5NO,103-71-9,119.121,-14.54,48.7212,352.7,-32.98
293,Phthalic anhydride,C8H4O3,85-44-9,148.116,-371.4,-307.001,399.5,-31.715
294,Propadiene,C3H4,463-49-0,40.064,190.5,200.8,243.9,-18.563
295,Propane,C3H8,74-98-6,44.096,-104.68,-24.39,270.2,-20.4311
296,1-Propanol,C3H8O,71-23-8,60.095,-254.6,-159.9,322.6,-18.44
297,2-Propanol,C3H8O,67-63-0,60.095,-272.1,-175.2,317.5,-18.34
